id,obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
3169,Karl Malone,Kareem Abdul-Jabbar,Magic Johnson,Karl Malone,The others were part of the Lakers' 'Showtime' era.,James Worthy
3170,Larry Bird,Robert Parish,Kevin McHale,Bill Russell,The others were part of the 1980s Boston Celtics.,Bill Russell
3171,Kobe Bryant,Tim Duncan,Allen Iverson,Allen Iverson,"The others are over 6'6"" tall.",Shaquille O'Neal
3172,Magic Johnson,Larry Bird,Michael Jordan,Isaiah Thomas,The others have not played for the Detroit Pistons.,Isaiah Thomas
3173,Kevin Durant,Stephen Curry,James Harden,James Harden,The others have won an NBA Championship.,LeBron James
3174,Dirk Nowitzki,Kobe Bryant,Vince Carter,Vince Carter,The others have won an NBA MVP award.,Tim Duncan
3175,LeBron James,Bill Russell,Magic Johnson,Bill Russell,The others have won an Olympic gold medal.,Michael Jordan
3176,Karl Malone,Kareem Abdul-Jabbar,Dirk Nowitzki,Dirk Nowitzki,The others have not played for the Dallas Mavericks.,Wilt Chamberlain
3177,Tim Duncan,Tracy McGrady,Shaquille O'Neal,Tracy McGrady,The others have won an NBA Finals MVP.,Kobe Bryant
3178,Klay Thompson,Stephen Curry,Draymond Green,Draymond Green,The others have won an NBA scoring title.,Kevin Durant
3179,Dwyane Wade,LeBron James,Dirk Nowitzki,Dirk Nowitzki,The others have played for the Miami Heat.,Chris Bosh
3180,Dwight Howard,Kobe Bryant,Pau Gasol,Pau Gasol,The others were number 1 draft picks.,Shaquille O'Neal
3181,Charles Barkley,Michael Jordan,Scottie Pippen,Charles Barkley,The others have won Defensive Player of the Year.,Dennis Rodman
3182,Albert Pujols,Mickey Mantle,Babe Ruth,Albert Pujols,The others are New York Yankees players,Derek Jeter
3183,Ichiro Suzuki,Jackie Robinson,Hank Aaron,Ichiro Suzuki,The others are African American players,Willie Mays
3184,Ty Cobb,Yogi Berra,Lou Gehrig,Ty Cobb,The others are Yankees players,Joe DiMaggio
3185,Nolan Ryan,Manny Machado,Bryce Harper,Nolan Ryan,The others are current MLB players,Mike Trout
3186,Willie Mays,Barry Bonds,Bobby Bonds,Hank Aaron,The others are San Francisco Giants players,Hank Aaron
3187,Sandy Koufax,Clayton Kershaw,Bob Gibson,Bob Gibson,The others are Los Angeles Dodgers players,Don Drysdale
3188,Cal Ripken Jr.,Mike Schmidt,Eddie Murray,Mike Schmidt,The others are Baltimore Orioles players,Brooks Robinson
3189,Hank Aaron,Warren Spahn,Willie Mays,Willie Mays,The others are Milwaukee/Atlanta Braves players,Eddie Mathews
3190,Tom Seaver,Jerry Koosman,George Brett,George Brett,The others are New York Mets players,Nolan Ryan
3191,Curt Schilling,Randy Johnson,Luis Gonzalez,Tony Gwynn,The others are Arizona Diamondbacks players,Tony Gwynn
3192,Tom Glavine,Pedro Martinez,Greg Maddux,Pedro Martinez,The others are Atlanta Braves players,John Smoltz
3193,Ken Griffey Jr.,Cal Ripken Jr.,Edgar Martinez,Cal Ripken Jr.,The others are Seattle Mariners players,Randy Johnson
3194,Barry Bonds,Ichiro Suzuki,Sammy Sosa,Ichiro Suzuki,The others are linked to the steroid era,Mark McGwire
3195,Roberto Clemente,Ernie Banks,Bill Mazeroski,Ernie Banks,The others are Pittsburgh Pirates players,Willie Stargell
3196,Derek Jeter,Adam Wainwright,Yadier Molina,Derek Jeter,The others are St. Louis Cardinals players,Albert Pujols
3197,Johnny Bench,Mickey Mantle,Pete Rose,Mickey Mantle,The others are Cincinnati Reds players,Joe Morgan
3198,Pete Rose,Steve Carlton,Mike Schmidt,Nolan Ryan,The others are Philadelphia Phillies players,Nolan Ryan
3199,Ryne Sandberg,Hal McRae,Frank White,Ryne Sandberg,The others are Kansas City Royals players,George Brett
3200,Catfish Hunter,Willie Mays,Reggie Jackson,Willie Mays,The others are Oakland Athletics players,Rollie Fingers
3201,Rocky Marciano,Jack Johnson,Joe Louis,Roberto Duran,The others are heavyweight champions.,Roberto Duran
3202,Joe Louis,Mike Tyson,Larry Holmes,Joe Louis,The others have defended their heavyweight title more than 10 times.,Evander Holyfield
3204,George Foreman,Sugar Ray Robinson,Joe Frazier,Sugar Ray Robinson,The others have won an Olympic medal.,Muhammad Ali
3205,Jack Dempsey,Mike Tyson,Joe Louis,Mike Tyson,The others fought in black and white era.,Rocky Marciano
3206,George Foreman,Lennox Lewis,Joe Frazier,Lennox Lewis,The others have been defeated by Muhammad Ali.,Mike Tyson
3207,Jake LaMotta,Manny Pacquiao,Oscar De La Hoya,Jake LaMotta,The others have won titles in multiple weight classes.,Floyd Mayweather
3208,Joe Louis,Mike Tyson,Lennox Lewis,Joe Louis,The others have won the heavyweight title multiple times.,Evander Holyfield
3209,Sergio Busquets,Gerard Pique,Xavi Hernandez,Gerard Pique,The others are midfielders,Andres Iniesta
3210,Cristiano Ronaldo,Robert Lewandowski,Mohamed Salah,Robert Lewandowski,The others have played in the English Premier League,Lionel Messi
3211,Eden Hazard,Thibaut Courtois,Kevin De Bruyne,Thibaut Courtois,The others are outfield players,Romelu Lukaku
3212,Daniel James,Aaron Ramsey,Joe Allen,Daniel James,The others have played in a UEFA Champions League final,Gareth Bale
3213,Didier Drogba,Michael Essien,Samuel Eto'o,Michael Essien,The others have won the African Footballer of the Year award,Yaya Toure
3214,Wesley Sneijder,Arjen Robben,Robin van Persie,Dirk Kuyt,The others have played in a World Cup final,Dirk Kuyt
3215,Roberto Carlos,Rivaldo,Kaka,Roberto Carlos,The others have won the FIFA World Player of the Year award,Ronaldinho
3216,Jaromir Jagr,Mario Lemieux,Alex Ovechkin,Alex Ovechkin,The others have played for the Pittsburgh Penguins.,Sidney Crosby
3217,Patrick Kane,Duncan Keith,Connor McDavid,Connor McDavid,The others are Chicago Blackhawks players.,Jonathan Toews
3218,Evgeny Kuznetsov,Steven Stamkos,Alex Ovechkin,Steven Stamkos,The others are Washington Capitals players.,Nicklas Backstrom
3219,Phil Esposito,Tony Esposito,Stan Mikita,Phil Esposito,The others have played for the Chicago Blackhawks.,Bobby Hull
3220,Martin Brodeur,Joe Sakic,Patrick Roy,Martin Brodeur,The others have played for the Colorado Avalanche.,Peter Forsberg
3221,Bobby Orr,Guy Lafleur,Jean Beliveau,Bobby Orr,The others have played for the Montreal Canadiens.,Maurice Richard
3222,Henrik Zetterberg,Pavel Datsyuk,Daniel Alfredsson,Daniel Alfredsson,The others are Detroit Red Wings draftees.,Nicklas Lidstrom
3223,Mario Lemieux,Jari Kurri,Wayne Gretzky,Mario Lemieux,The others have played for the Edmonton Oilers.,Mark Messier
3224,Bernie Parent,Bobby Clarke,Bill Barber,Mike Bossy,The others have played for the Philadelphia Flyers.,Mike Bossy
3225,Teemu Selanne,Paul Kariya,Ryan Getzlaf,Jarome Iginla,The others have played for the Anaheim Ducks.,Jarome Iginla
3226,Sidney Crosby,Zdeno Chara,Patrice Bergeron,Sidney Crosby,The others have played for the Boston Bruins.,Brad Marchand
3227,Patrick Roy,Brett Hull,Ed Belfour,Patrick Roy,The others have played for the Dallas Stars.,Mike Modano
3228,Wendel Clark,Mats Sundin,Steve Yzerman,Steve Yzerman,The others have played for the Toronto Maple Leafs.,Doug Gilmour
3229,Trevor Linden,Henrik Sedin,Joe Sakic,Joe Sakic,The others have played for the Vancouver Canucks.,Pavel Bure
3230,Pavel Datsyuk,Adam Oates,Brett Hull,Pavel Datsyuk,The others have played for the St. Louis Blues.,Chris Pronger
3231,Daniel Alfredsson,Henrik Lundqvist,Erik Karlsson,Henrik Lundqvist,The others have played for the Ottawa Senators.,Jason Spezza
3232,Mark Messier,Scott Stevens,Martin Brodeur,Mark Messier,The others have played for the New Jersey Devils.,Patrik Elias
3233,Brian Leetch,Mario Lemieux,Mike Richter,Mario Lemieux,The others have won the Conn Smythe Trophy as a New York Ranger.,Mark Messier
3234,Marc-Andre Fleury,Sidney Crosby,Evgeni Malkin,Alex Ovechkin,The others have won the Stanley Cup with the Pittsburgh Penguins.,Alex Ovechkin
3235,Jonathan Toews,Patrick Kane,Duncan Keith,Auston Matthews,The others have won the Conn Smythe Trophy as a Chicago Blackhawk.,Auston Matthews
3236,Joe Thornton,Evgeni Nabokov,Jarome Iginla,Jarome Iginla,The others have played for the San Jose Sharks.,Patrick Marleau
3237,Nicklas Lidstrom,Henrik Zetterberg,Steve Yzerman,Steve Yzerman,The others have won the Conn Smythe Trophy as a Detroit Red Wing.,Pavel Datsyuk
3238,Theo Fleury,Jarome Iginla,Miikka Kiprusoff,Joe Sakic,The others have played for the Calgary Flames.,Joe Sakic
3239,Joe Sakic,Martin Brodeur,Peter Stastny,Martin Brodeur,The others have played for the Quebec Nordiques/Colorado Avalanche.,Patrick Roy
3240,Denis Potvin,Mario Lemieux,Bryan Trottier,Mario Lemieux,The others have won the Stanley Cup with the New York Islanders.,Mike Bossy
3241,Jean-Claude Van Damme,Sylvester Stallone,Steven Seagal,Sylvester Stallone,The others are martial artists and actors,Chuck Norris
3242,Keith Haring,Kenny Scharf,Jean-Michel Basquiat,Grant Wood,The others are artists of the New York street art movement,Grant Wood
3243,Rene Magritte,Oskar Kokoschka,Egon Schiele,Rene Magritte,The others are artists of the Vienna Secession,Gustav Klimt
3244,Arthur Dove,Charles Demuth,Georgia O'Keeffe,Andrew Wyeth,The others are Precisionists,Andrew Wyeth
3245,Salvador Dali,Diego Velázquez,El Greco,Salvador Dali,The others are Spanish painters of the Old Masters,Francisco Goya
3246,Marc Chagall,Salvador Dali,Wassily Kandinsky,Salvador Dali,The others are artists of the Russian avant-garde,Kazimir Malevich
3247,Theo van Doesburg,Henri Matisse,Piet Mondrian,Henri Matisse,The others are artists of the De Stijl movement,Bart van der Leck
3248,Sandro Botticelli,Michelangelo,Caravaggio,Caravaggio,The others are artists of the Early Renaissance,Leonardo da Vinci
3249,Tintoretto,Giorgione,Titian,Raphael,The others are Venetian Renaissance painters,Raphael
3250,Jean-Auguste-Dominique Ingres,Honoré Daumier,Jean-François Millet,Jean-Auguste-Dominique Ingres,The others are artists of the Realism movement,Gustave Courbet
3251,Sandro Botticelli,Domenico Ghirlandaio,Pietro Perugino,Caravaggio,The others are artists of the Early Italian Renaissance,Caravaggio
3252,Nicolas Poussin,Claude Lorrain,Simon Vouet,Pierre-Auguste Renoir,The others are French Baroque painters,Pierre-Auguste Renoir
3253,Jean-Auguste-Dominique Ingres,Jacques-Louis David,Eugène Delacroix,Paul Cézanne,The others are artists of the Neoclassicism movement,Paul Cézanne
3254,Pierre Puvis de Chavannes,Odilon Redon,Vincent van Gogh,Vincent van Gogh,The others are Symbolists,Gustave Moreau
3255,Wittgenstein,Voltaire,Rousseau,Wittgenstein,The others were philosophers of the Enlightenment,Diderot
3256,Epicurus,Marx,Epictetus,Marx,The others are ancient Greek philosophers associated with Hellenistic schools,Zeno
3257,James,Russell,Dewey,Russell,The others are pragmatists,Peirce
3258,Russell,Whitehead,Frege,Thoreau,The others are logicians,Thoreau
3259,Berkeley,Locke,Hume,Kierkegaard,The others are empiricists,Kierkegaard
3260,Popper,Kuhn,Feyerabend,Plato,The others are philosophers of science,Plato
3261,Kierkegaard,Mill,Nietzsche,Mill,The others are associated with nihilism,Schopenhauer
3262,Engels,Descartes,Hegel,Descartes,The others are dialectical materialists,Marx
3263,Locke,Kant,Heidegger,Heidegger,The others are philosophers of the Enlightenment,Hume
3264,Socrates,Aristotle,Plato,Kierkegaard,The others are philosophers of ancient Greece,Kierkegaard
3265,Foucault,Derrida,Socrates,Socrates,The others are postmodernists,Barthes
3266,Beauvoir,Kant,Camus,Kant,The others are French existentialists,Sartre
3267,Rule of thirds,Depth of field,Leading lines,Color wheel,The others are photography composition techniques,Color wheel
3268,Color grading,Retouching,Cropping,Sketching,The others are photo editing techniques,Sketching
3269,Sergei Prokofiev,Franz Schubert,Dmitri Shostakovich,Franz Schubert,The others are Russian composers.,Sergei Rachmaninoff
3270,Franz Liszt,Ludwig van Beethoven,Frederic Chopin,Ludwig van Beethoven,The others were known for their virtuosic piano playing.,Sergei Rachmaninoff
3271,Robert Frost,E. E. Cummings,William Wordsworth,William Wordsworth,The others are 20th century poets.,T. S. Eliot
3272,Percy Bysshe Shelley,Robert Frost,Lord Byron,Robert Frost,The others are Romantic poets.,John Keats
3273,Emily Dickinson,Jack Kerouac,William S. Burroughs,Emily Dickinson,The others are Beat Generation poets.,Allen Ginsberg
3274,William Blake,Samuel Taylor Coleridge,Robert Southey,William Blake,The others are Lake Poets.,William Wordsworth
3275,Arthur Rimbaud,Emily Dickinson,Charles Baudelaire,Emily Dickinson,The others are French poets.,Paul Verlaine
3276,Robert Frost,Ben Jonson,William Shakespeare,Robert Frost,The others are poets of the English Renaissance.,John Donne
3277,H. D.,T. S. Eliot,Ezra Pound,Robert Frost,The others are Imagist poets.,Robert Frost
3278,Langston Hughes,William Wordsworth,Claude McKay,William Wordsworth,The others are Harlem Renaissance poets.,Zora Neale Hurston
3279,Geoffrey Chaucer,Robert Frost,Thomas Hoccleve,Robert Frost,The others are Middle English poets.,John Gower
3280,John Dryden,Alexander Pope,William Shakespeare,William Shakespeare,The others are Augustan poets.,Samuel Johnson
3281,William Blake,Emily Dickinson,Samuel Taylor Coleridge,Emily Dickinson,The others are poets of the English Romantic movement.,William Wordsworth
3282,Ben Jonson,Robert Frost,William Shakespeare,Robert Frost,The others are Elizabethan poets.,Christopher Marlowe
3283,Walter Scott,Robert Burns,Emily Dickinson,Emily Dickinson,The others are Scottish poets.,James Hogg
3284,Robert Frost,William Shakespeare,John Milton,Robert Frost,The others are 17th century English poets.,John Dryden
3285,Anne Sexton,Robert Lowell,Sylvia Plath,Emily Dickinson,The others are Confessional poets.,Emily Dickinson
3286,Percy Bysshe Shelley,Lord Byron,John Keats,William Shakespeare,The others are poets of the Romantic movement.,William Shakespeare
3287,Franklin D. Roosevelt,Bill Clinton,Jimmy Carter,Boris Johnson,The others are former U.S. Presidents,Boris Johnson
3288,Bill Clinton,Richard Nixon,Barack Obama,Barack Obama,The others have faced impeachment,Andrew Johnson
3289,Jacob Zuma,Olusegun Obasanjo,Muhammadu Buhari,Jacob Zuma,The others are Nigerian Presidents,Goodluck Jonathan
3290,Endel Tulving,Carl Jung,Elizabeth Loftus,Carl Jung,The others are memory researchers,Daniel Schacter
3291,Carl Jung,Lewis Terman,Charles Spearman,Carl Jung,The others are intelligence researchers,Francis Galton
3292,Biscuits,Ice Cream,Bread,Ice Cream,The others are baked,Cake
3293,Biscotti,Madeleine,Macaron,Gelato,The others are baked Italian/French desserts,Gelato
3294,Shortbread,Crumpet,Scone,Pancake,The others are baked British treats,Pancake
3295,Whiskey Sour,Old Fashioned,Mint Julep,Bloody Mary,The others are whiskey cocktails,Bloody Mary
3296,Martini Glass,Old Fashioned Glass,Beer Mug,Beer Mug,The others are cocktail glasses,Highball Glass
3297,Ice Scoop,Cutting Board,Strainer,Cutting Board,The others are used directly in drink preparation,Muddler
3298,Mojito,Tequila Sunrise,Pina Colada,Tequila Sunrise,The others are rum cocktails,Daiquiri
3299,Lime,Sugar,Tonic Water,Tonic Water,The others are ingredients in a daiquiri,Bitters
3300,Aperol Spritz,Margarita,Americano,Margarita,The others are apéritif cocktails,Negroni
3301,Mezcal,Rum,Sotol,Rum,The others are Mexican spirits,Tequila
3302,Bloody Mary,Mojito,Black Russian,Mojito,The others are vodka cocktails,Screwdriver
3303,French 75,Gin Fizz,Old Fashioned,Old Fashioned,The others are gin cocktails,Tom Collins
3304,Vermouth,Triple Sec,Cointreau,Vermouth,The others are orange liqueurs,Grand Marnier
3305,Pimm's Cup,Dark 'n' Stormy,Moscow Mule,Margarita,The others are served in copper mugs,Margarita
3306,Rye,Bourbon,Brandy,Brandy,The others are whiskies,Scotch
3307,Pina Colada,Cuba Libre,Mojito,Pina Colada,The others are served with lime,Daiquiri
3308,Baileys,Campari,Fernet-Branca,Baileys,The others are bitter liqueurs,Jägermeister
3309,Lemon Twist,Lime Wedge,Olive,Lime Wedge,The others are garnishes for a martini,Cherry
3310,Ouzo,Sambuca,Tequila,Tequila,The others are anise-flavored,Arak
3311,Heineken,Corona,Pilsner Urquell,Corona,The others are European beers,Guinness
3312,Stone Brewing,Dogfish Head,Bell's Brewery,Anheuser-Busch,The others are microbreweries,Anheuser-Busch
3313,Magic Rock,Beavertown,Stella Artois,Stella Artois,The others are UK craft beers,BrewDog
3314,Pliny the Elder,Heady Topper,Budweiser,Budweiser,The others are IPA beers,Zombie Dust
3315,Duvel,Miller Lite,Orval,Miller Lite,The others are Trappist beers,Westmalle
3316,Budweiser,Pelforth,Kronenbourg 1664,Budweiser,The others are French beers,Fischer
3317,Bud Light,Zhiguli,Baltika,Bud Light,The others are Russian beers,Nevskoye
3318,Bomonti,Tuborg,Efes,Heineken,The others are Turkish beers,Heineken
3320,Cabernet Sauvignon,Château Latour,Château Lafite Rothschild,Cabernet Sauvignon,The others are French wineries,Château Margaux
3321,Keg,Barrique,Demijohn,Keg,The others are wine storage vessels,Amphora
3322,Château Latour,Château Lafite Rothschild,Château Margaux,Dom Pérignon,The others are Bordeaux wineries,Dom Pérignon
3323,Napa Valley,Hunter Valley,Yarra Valley,Napa Valley,The others are Australian wine regions,Barossa Valley
3324,Malolactic fermentation,Saignée,Carbonic maceration,Decanting,The others are winemaking techniques,Decanting
3325,Maturation,Bottling,Distillation,Distillation,The others are stages of winemaking,Vinification
3326,Chardonnay,Merlot,Cabernet Sauvignon,Chardonnay,The others are Bordeaux grape varietals,Cabernet Franc
3328,Chablis,Barolo,Sancerre,Barolo,The others are French wines,Pouilly-Fumé
3329,Pot Still,Column Still,Fermentation Vat,Fermentation Vat,The others are types of distillers,Alembic Still
3330,Single Malt,Single Grain,Blended Malt,Rum,The others are types of Scotch whisky,Rum
3331,Mash,Hearts,Angel's Share,Mash,The others are distillation cuts,Foreshots
3332,Yeast,Barrel,Water,Barrel,The others are ingredients in distillation,Grain
3333,Aging,Distillation,Bottling,Fermentation,The others are post-distillation processes,Fermentation
3334,Cask Strength,Single Barrel,Small Batch,Vodka,The others are whiskey classifications,Vodka
3335,Cognac,Armagnac,Scotch,Scotch,The others are types of brandy,Brandy
3336,Rum,Absinthe,Gin,Absinthe,The others are distilled from grain,Vodka
3337,Glass,Stainless Steel,Copper,Wood,The others are materials used to make distillers,Wood
3338,Malt,Grain,Pot Still,Column Still,The others are used in the mashing process,Column Still
3339,Jameson,Chivas Regal,Johnnie Walker,Jameson,The others are Scotch whisky brands,Ballantine's
3340,Grey Goose,Absolut,Bacardi,Bacardi,The others are vodka brands,Smirnoff
3341,Bombay Sapphire,Beefeater,Jack Daniels,Jack Daniels,The others are gin brands,Tanqueray
3342,Lagavulin,Macallan,Ardbeg,Macallan,The others are Islay Scotch whiskies,Laphroaig
3343,Laphroaig,Glenmorangie,Macallan,Laphroaig,The others are Highland Scotch whiskies,Dalmore
3344,Glen Deveron,Auchentoshan,Glenkinchie,Talisker,The others are Lowland Scotch whiskies,Talisker
3345,Glenfiddich,Balvenie,Glenlivet,Talisker,The others are Speyside Scotch whiskies,Talisker
3346,Kareem Abdul-Jabbar,Shaquille O'Neal,Scottie Pippen,Scottie Pippen,The others are Los Angeles Lakers' MVPs.,Magic Johnson
3347,Scottie Pippen,Michael Jordan,Dennis Rodman,Karl Malone,The others played for the Chicago Bulls.,Karl Malone
3348,Kevin Garnett,Bill Russell,Paul Pierce,Bill Russell,The others are NBA Finals MVPs.,Larry Bird
3349,Anthony Davis,Dwyane Wade,Chris Bosh,Anthony Davis,The others won an NBA championship with the Miami Heat.,LeBron James
3350,Jason Terry,Steve Nash,J.J. Barea,Steve Nash,The others won an NBA championship with the Dallas Mavericks.,Dirk Nowitzki
3351,Kareem Abdul-Jabbar,Magic Johnson,James Worthy,Larry Bird,The others won an NBA championship with the Los Angeles Lakers.,Larry Bird
3352,Dennis Rodman,Michael Jordan,Shaquille O'Neal,Shaquille O'Neal,The others are part of the 1996 Chicago Bulls.,Scottie Pippen
3353,Tim Duncan,Tony Parker,Kawhi Leonard,Kawhi Leonard,The others are part of the 2007 San Antonio Spurs.,Manu Ginobili
3354,Shaquille O'Neal,Tracy McGrady,Kobe Bryant,Tracy McGrady,The others are part of the 2002 Los Angeles Lakers.,Derek Fisher
3355,Tony Parker,Manu Ginobili,David Robinson,David Robinson,The others are part of the 2005 San Antonio Spurs.,Tim Duncan
3356,Magic Johnson,Larry Bird,Kevin McHale,Magic Johnson,The others are part of the 1986 Boston Celtics.,Robert Parish
3357,Charles Barkley,Michael Jordan,Scottie Pippen,Charles Barkley,The others are part of the 1998 Chicago Bulls.,Dennis Rodman
3358,LeBron James,Chris Bosh,Dwyane Wade,Kevin Durant,The others are part of the 2012 Miami Heat.,Kevin Durant
3359,Magic Johnson,Larry Bird,James Worthy,Larry Bird,The others are part of the 1985 Los Angeles Lakers.,Kareem Abdul-Jabbar
3360,Manu Ginobili,Shaquille O'Neal,Tim Duncan,Shaquille O'Neal,The others are part of the 2003 San Antonio Spurs.,Tony Parker
3361,Karl Malone,Scottie Pippen,Dennis Rodman,Karl Malone,The others are part of the 1997 Chicago Bulls.,Michael Jordan
3362,Dirk Nowitzki,LeBron James,Dwyane Wade,Dirk Nowitzki,The others are part of the 2013 Miami Heat.,Chris Bosh
3363,Larry Bird,Magic Johnson,James Worthy,Larry Bird,The others are part of the 1987 Los Angeles Lakers.,Kareem Abdul-Jabbar
3364,Shaquille O'Neal,Tracy McGrady,Derek Fisher,Tracy McGrady,The others are part of the 2000 Los Angeles Lakers.,Kobe Bryant
3365,Robert Parish,Magic Johnson,Kevin McHale,Magic Johnson,The others are part of the 1984 Boston Celtics.,Larry Bird
3366,Willie Mays,Hank Aaron,Mike Trout,Mike Trout,The others played before 1980,Roberto Clemente
3367,Yogi Berra,Johnny Bench,Cal Ripken Jr.,Cal Ripken Jr.,The others are catchers,Mike Piazza
3368,Ty Cobb,Lou Brock,Rickey Henderson,Babe Ruth,The others are base stealers,Babe Ruth
3369,Hank Aaron,Ty Cobb,Cy Young,Cy Young,The others are hitters,Pete Rose
3370,Barry Bonds,Mark McGwire,Sammy Sosa,Derek Jeter,The others have hit 60+ home runs in a season,Derek Jeter
3371,Sandy Koufax,Rickey Henderson,Nolan Ryan,Rickey Henderson,The others are strikeout leaders,Randy Johnson
3372,Greg Maddux,Miguel Tejada,Cal Ripken Jr.,Greg Maddux,The others are consecutive game streak holders,Lou Gehrig
3373,Pete Rose,Honus Wagner,Joe DiMaggio,Honus Wagner,The others have hit streaks of 40+ games,Willie Keeler
3374,Jackie Robinson,Ernie Banks,Ted Williams,Ted Williams,The others were pioneers in breaking the color barrier,Larry Doby
3375,Tony Gwynn,Roberto Clemente,Rod Carew,Babe Ruth,The others are known for their high batting averages,Babe Ruth
3376,Mike Piazza,Cal Ripken Jr.,Ozzie Smith,Mike Piazza,The others are shortstops,Derek Jeter
3377,Babe Ruth,Ty Cobb,Pete Rose,Babe Ruth,The others have 4000+ professional hits,Ichiro Suzuki
3378,Hank Aaron,Babe Ruth,Barry Bonds,Rickey Henderson,The others are home run leaders,Rickey Henderson
3379,Sandy Koufax,Mickey Mantle,Willie Mays,Sandy Koufax,The others are outfielders,Hank Aaron
3380,Brooks Robinson,Mike Schmidt,Lou Gehrig,Lou Gehrig,The others are third basemen,George Brett
3381,Roger Clemens,Randy Johnson,Babe Ruth,Babe Ruth,The others have 300+ career wins,Nolan Ryan
3382,Ted Williams,Willie Mays,Mickey Mantle,Willie Mays,The others have a career on-base percentage over .400,Babe Ruth
3383,Cal Ripken Jr.,Joe DiMaggio,Miguel Tejada,Joe DiMaggio,The others have played in 2000+ consecutive games,Lou Gehrig
3384,Floyd Mayweather,Manny Pacquiao,Oscar De La Hoya,Sugar Ray Robinson,The others are boxers of the modern era,Sugar Ray Robinson
3385,Rocky Marciano,Lennox Lewis,Evander Holyfield,Rocky Marciano,The others are heavyweight champions of the 90s,Mike Tyson
3386,Marvin Hagler,Roberto Duran,Sugar Ray Leonard,George Foreman,The others are middleweight champions,George Foreman
3387,Fred Astaire,Mikhail Baryshnikov,Rudolf Nureyev,Fred Astaire,The others are ballet dancers.,Vaslav Nijinsky
3388,Fred Astaire,Ginger Rogers,Margot Fonteyn,Margot Fonteyn,The others are tap dancers.,Gene Kelly
3389,Mary Wigman,Martha Graham,Isadora Duncan,Bob Fosse,The others are modern dancers.,Bob Fosse
3390,Anna Pavlova,Michael Flatley,Jean Butler,Anna Pavlova,The others are Irish dancers.,Colin Dunne
3391,Marius Petipa,George Balanchine,Jerome Robbins,Jerome Robbins,The others are ballet choreographers.,Lev Ivanov
3392,Bryan Watson,Merce Cunningham,Yulia Zagoruychenko,Merce Cunningham,The others are ballroom dancers.,Pierre Dulaine
3393,Mikhail Baryshnikov,Gower Champion,Jerome Robbins,Mikhail Baryshnikov,The others are Broadway choreographers.,Bob Fosse
3394,Vaslav Nijinsky,Fred Astaire,Rudolf Nureyev,Fred Astaire,The others are Russian dancers.,Mikhail Baryshnikov
3395,Twyla Tharp,Gene Kelly,Martha Graham,Gene Kelly,The others are modern choreographers.,Merce Cunningham
3396,Galina Ulanova,Janet Jackson,Michael Jackson,Galina Ulanova,The others are pop dancers.,Paula Abdul
3397,Pierre Dulaine,Isadora Duncan,Mary Wigman,Pierre Dulaine,The others are pioneers of modern dance.,Martha Graham
3398,Fred Astaire,Bill Robinson,Vaslav Nijinsky,Vaslav Nijinsky,The others are film dancers.,Gene Kelly
3399,George Balanchine,Pierre Dulaine,Bryan Watson,George Balanchine,The others are Latin dancers.,Yulia Zagoruychenko
3400,Lombardi Trophy,Green Jacket,Wanamaker Trophy,Lombardi Trophy,The others are golf tournament prizes,Claret Jug
3401,Flop Shot,Free Kick,Stinger,Free Kick,The others are golf shots,Punch Shot
3402,Babe Didrikson Zaharias,Tommy Armour,Horton Smith,Babe Didrikson Zaharias,The others are male professional golfers,Johnny Farrell
3403,Brett Hull,Mark Howe,Bobby Hull,Gordie Howe,The others are father-son duos,Gordie Howe
3404,Wayne Gretzky,Ray Bourque,Chris Pronger,Wayne Gretzky,The others are defensemen,Scott Stevens
3405,Denis Potvin,Mario Lemieux,Paul Coffey,Mario Lemieux,The others won the Norris Trophy,Bobby Orr
3406,Brett Hull,Dominik Hasek,Patrick Roy,Brett Hull,The others won the Vezina Trophy,Martin Brodeur
3407,Evgeni Malkin,Jaromir Jagr,Sidney Crosby,Jaromir Jagr,The others are Penguins' captains,Mario Lemieux
3408,Jari Kurri,Paul Coffey,Wayne Gretzky,Paul Coffey,The others won the Hart Trophy,Mark Messier
3409,Evgeni Nabokov,Pavel Datsyuk,Alex Ovechkin,Evgeni Nabokov,The others are Russian forwards,Sergei Fedorov
3410,Bernie Parent,Bobby Clarke,Bill Barber,Mike Bossy,The others played for the Flyers,Mike Bossy
3411,Patrick Roy,Mats Sundin,Peter Forsberg,Mats Sundin,The others played for the Avalanche,Joe Sakic
3412,Miikka Kiprusoff,Jarome Iginla,Dion Phaneuf,Joe Thornton,The others played for the Flames,Joe Thornton
3413,Adam Foote,Teemu Selanne,Peter Forsberg,Teemu Selanne,The others won a Stanley Cup with the Avalanche,Joe Sakic
3414,Peter Tosh,David Bowie,Bob Marley,David Bowie,The others are reggae musicians,Bunny Wailer
3415,Eddie Vedder,Kurt Cobain,Chris Cornell,Axl Rose,The others are grunge musicians,Axl Rose
3416,The Beatles,The Cure,The Smiths,The Beatles,The others are 80s alternative bands,Depeche Mode
3417,Metallica,Megadeth,Slayer,Nirvana,The others are thrash metal bands,Nirvana
3418,The Doors,The Kinks,The Yardbirds,The Doors,The others are British Invasion bands,The Who
3419,Mick Jagger,Janis Joplin,Jimi Hendrix,Mick Jagger,The others died at age 27,Jim Morrison
3420,The Ramones,The Clash,The Sex Pistols,The Ramones,The others are British punk bands,The Damned
