obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
Dirk Nowitzki,Kobe Bryant,Vince Carter,Vince Carter,The others have won an NBA MVP award.,Tim Duncan
LeBron James,Bill Russell,Magic Johnson,Bill Russell,The others have won an Olympic gold medal.,Michael Jordan
Karl Malone,Kareem Abdul-Jabbar,Dirk Nowitzki,Dirk Nowitzki,The others have not played for the Dallas Mavericks.,Wilt Chamberlain
Tim Duncan,Tracy McGrady,Shaquille O'Neal,Tracy McGrady,The others have won an NBA Finals MVP.,Kobe Bryant
Klay Thompson,Stephen Curry,Draymond Green,Draymond Green,The others have won an NBA scoring title.,Kevin Durant
Dwyane Wade,LeBron James,Dirk Nowitzki,Dirk Nowitzki,The others have played for the Miami Heat.,Chris Bosh
Dwight Howard,Kobe Bryant,Pau Gasol,Pau Gasol,The others were number 1 draft picks.,Shaquille O'Neal
Charles Barkley,Michael Jordan,Scottie Pippen,Charles Barkley,The others have won Defensive Player of the Year.,Dennis Rodman
Albert Pujols,Mickey Mantle,Babe Ruth,Albert Pujols,The others are New York Yankees players,Derek Jeter
Ichiro Suzuki,Jackie Robinson,Hank Aaron,Ichiro Suzuki,The others are African American players,Willie Mays
Ty Cobb,Yogi Berra,Lou Gehrig,Ty Cobb,The others are Yankees players,Joe DiMaggio
Nolan Ryan,Manny Machado,Bryce Harper,Nolan Ryan,The others are current MLB players,Mike Trout
Willie Mays,Barry Bonds,Bobby Bonds,Hank Aaron,The others are San Francisco Giants players,Hank Aaron
Sandy Koufax,Clayton Kershaw,Bob Gibson,Bob Gibson,The others are Los Angeles Dodgers players,Don Drysdale
Cal Ripken Jr.,Mike Schmidt,Eddie Murray,Mike Schmidt,The others are Baltimore Orioles players,Brooks Robinson
Hank Aaron,Warren Spahn,Willie Mays,Willie Mays,The others are Milwaukee/Atlanta Braves players,Eddie Mathews
Tom Seaver,Jerry Koosman,George Brett,George Brett,The others are New York Mets players,Nolan Ryan
Curt Schilling,Randy Johnson,Luis Gonzalez,Tony Gwynn,The others are Arizona Diamondbacks players,Tony Gwynn
Tom Glavine,Pedro Martinez,Greg Maddux,Pedro Martinez,The others are Atlanta Braves players,John Smoltz
Ken Griffey Jr.,Cal Ripken Jr.,Edgar Martinez,Cal Ripken Jr.,The others are Seattle Mariners players,Randy Johnson
Barry Bonds,Ichiro Suzuki,Sammy Sosa,Ichiro Suzuki,The others are linked to the steroid era,Mark McGwire
Roberto Clemente,Ernie Banks,Bill Mazeroski,Ernie Banks,The others are Pittsburgh Pirates players,Willie Stargell
Derek Jeter,Adam Wainwright,Yadier Molina,Derek Jeter,The others are St. Louis Cardinals players,Albert Pujols
Johnny Bench,Mickey Mantle,Pete Rose,Mickey Mantle,The others are Cincinnati Reds players,Joe Morgan
Pete Rose,Steve Carlton,Mike Schmidt,Nolan Ryan,The others are Philadelphia Phillies players,Nolan Ryan
Ryne Sandberg,Hal McRae,Frank White,Ryne Sandberg,The others are Kansas City Royals players,George Brett
Catfish Hunter,Willie Mays,Reggie Jackson,Willie Mays,The others are Oakland Athletics players,Rollie Fingers
Rocky Marciano,Jack Johnson,Joe Louis,Roberto Duran,The others are heavyweight champions.,Roberto Duran
Joe Louis,Mike Tyson,Larry Holmes,Joe Louis,The others have defended their heavyweight title more than 10 times.,Evander Holyfield
George Foreman,Sonny Liston,Joe Frazier,Sonny Liston,The others have been inducted into the International Boxing Hall of Fame.,Muhammad Ali
George Foreman,Sugar Ray Robinson,Joe Frazier,Sugar Ray Robinson,The others have won an Olympic medal.,Muhammad Ali
Jack Dempsey,Mike Tyson,Joe Louis,Mike Tyson,The others fought in black and white era.,Rocky Marciano
George Foreman,Lennox Lewis,Joe Frazier,Lennox Lewis,The others have been defeated by Muhammad Ali.,Mike Tyson
Jake LaMotta,Manny Pacquiao,Oscar De La Hoya,Jake LaMotta,The others have won titles in multiple weight classes.,Floyd Mayweather
Joe Louis,Mike Tyson,Lennox Lewis,Joe Louis,The others have won the heavyweight title multiple times.,Evander Holyfield
Sergio Busquets,Gerard Pique,Xavi Hernandez,Gerard Pique,The others are midfielders,Andres Iniesta
Cristiano Ronaldo,Robert Lewandowski,Mohamed Salah,Robert Lewandowski,The others have played in the English Premier League,Lionel Messi
Eden Hazard,Thibaut Courtois,Kevin De Bruyne,Thibaut Courtois,The others are outfield players,Romelu Lukaku
Daniel James,Aaron Ramsey,Joe Allen,Daniel James,The others have played in a UEFA Champions League final,Gareth Bale
Didier Drogba,Michael Essien,Samuel Eto'o,Michael Essien,The others have won the African Footballer of the Year award,Yaya Toure
Wesley Sneijder,Arjen Robben,Robin van Persie,Dirk Kuyt,The others have played in a World Cup final,Dirk Kuyt
Roberto Carlos,Rivaldo,Kaka,Roberto Carlos,The others have won the FIFA World Player of the Year award,Ronaldinho
Jaromir Jagr,Mario Lemieux,Alex Ovechkin,Alex Ovechkin,The others have played for the Pittsburgh Penguins.,Sidney Crosby
Patrick Kane,Duncan Keith,Connor McDavid,Connor McDavid,The others are Chicago Blackhawks players.,Jonathan Toews
Evgeny Kuznetsov,Steven Stamkos,Alex Ovechkin,Steven Stamkos,The others are Washington Capitals players.,Nicklas Backstrom
Phil Esposito,Tony Esposito,Stan Mikita,Phil Esposito,The others have played for the Chicago Blackhawks.,Bobby Hull
Martin Brodeur,Joe Sakic,Patrick Roy,Martin Brodeur,The others have played for the Colorado Avalanche.,Peter Forsberg
Bobby Orr,Guy Lafleur,Jean Beliveau,Bobby Orr,The others have played for the Montreal Canadiens.,Maurice Richard
Henrik Zetterberg,Pavel Datsyuk,Daniel Alfredsson,Daniel Alfredsson,The others are Detroit Red Wings draftees.,Nicklas Lidstrom
Mario Lemieux,Jari Kurri,Wayne Gretzky,Mario Lemieux,The others have played for the Edmonton Oilers.,Mark Messier
Bernie Parent,Bobby Clarke,Bill Barber,Mike Bossy,The others have played for the Philadelphia Flyers.,Mike Bossy
Teemu Selanne,Paul Kariya,Ryan Getzlaf,Jarome Iginla,The others have played for the Anaheim Ducks.,Jarome Iginla
Sidney Crosby,Zdeno Chara,Patrice Bergeron,Sidney Crosby,The others have played for the Boston Bruins.,Brad Marchand
Patrick Roy,Brett Hull,Ed Belfour,Patrick Roy,The others have played for the Dallas Stars.,Mike Modano
Wendel Clark,Mats Sundin,Steve Yzerman,Steve Yzerman,The others have played for the Toronto Maple Leafs.,Doug Gilmour
Trevor Linden,Henrik Sedin,Joe Sakic,Joe Sakic,The others have played for the Vancouver Canucks.,Pavel Bure
Pavel Datsyuk,Adam Oates,Brett Hull,Pavel Datsyuk,The others have played for the St. Louis Blues.,Chris Pronger
Daniel Alfredsson,Henrik Lundqvist,Erik Karlsson,Henrik Lundqvist,The others have played for the Ottawa Senators.,Jason Spezza
Mark Messier,Scott Stevens,Martin Brodeur,Mark Messier,The others have played for the New Jersey Devils.,Patrik Elias
Brian Leetch,Mario Lemieux,Mike Richter,Mario Lemieux,The others have won the Conn Smythe Trophy as a New York Ranger.,Mark Messier
Marc-Andre Fleury,Sidney Crosby,Evgeni Malkin,Alex Ovechkin,The others have won the Stanley Cup with the Pittsburgh Penguins.,Alex Ovechkin
Jonathan Toews,Patrick Kane,Duncan Keith,Auston Matthews,The others have won the Conn Smythe Trophy as a Chicago Blackhawk.,Auston Matthews
Joe Thornton,Evgeni Nabokov,Jarome Iginla,Jarome Iginla,The others have played for the San Jose Sharks.,Patrick Marleau
Nicklas Lidstrom,Henrik Zetterberg,Steve Yzerman,Steve Yzerman,The others have won the Conn Smythe Trophy as a Detroit Red Wing.,Pavel Datsyuk
Theo Fleury,Jarome Iginla,Miikka Kiprusoff,Joe Sakic,The others have played for the Calgary Flames.,Joe Sakic
Joe Sakic,Martin Brodeur,Peter Stastny,Martin Brodeur,The others have played for the Quebec Nordiques/Colorado Avalanche.,Patrick Roy
Denis Potvin,Mario Lemieux,Bryan Trottier,Mario Lemieux,The others have won the Stanley Cup with the New York Islanders.,Mike Bossy
Jean-Claude Van Damme,Sylvester Stallone,Steven Seagal,Sylvester Stallone,The others are martial artists and actors,Chuck Norris
Keith Haring,Kenny Scharf,Jean-Michel Basquiat,Grant Wood,The others are artists of the New York street art movement,Grant Wood
Rene Magritte,Oskar Kokoschka,Egon Schiele,Rene Magritte,The others are artists of the Vienna Secession,Gustav Klimt
Arthur Dove,Charles Demuth,Georgia O'Keeffe,Andrew Wyeth,The others are Precisionists,Andrew Wyeth
Salvador Dali,Diego Velázquez,El Greco,Salvador Dali,The others are Spanish painters of the Old Masters,Francisco Goya
Marc Chagall,Salvador Dali,Wassily Kandinsky,Salvador Dali,The others are artists of the Russian avant-garde,Kazimir Malevich
Theo van Doesburg,Henri Matisse,Piet Mondrian,Henri Matisse,The others are artists of the De Stijl movement,Bart van der Leck
Sandro Botticelli,Michelangelo,Caravaggio,Caravaggio,The others are artists of the Early Renaissance,Leonardo da Vinci
Tintoretto,Giorgione,Titian,Raphael,The others are Venetian Renaissance painters,Raphael
Jean-Auguste-Dominique Ingres,Honoré Daumier,Jean-François Millet,Jean-Auguste-Dominique Ingres,The others are artists of the Realism movement,Gustave Courbet
Sandro Botticelli,Domenico Ghirlandaio,Pietro Perugino,Caravaggio,The others are artists of the Early Italian Renaissance,Caravaggio
Nicolas Poussin,Claude Lorrain,Simon Vouet,Pierre-Auguste Renoir,The others are French Baroque painters,Pierre-Auguste Renoir
Jean-Auguste-Dominique Ingres,Jacques-Louis David,Eugène Delacroix,Paul Cézanne,The others are artists of the Neoclassicism movement,Paul Cézanne
Pierre Puvis de Chavannes,Odilon Redon,Vincent van Gogh,Vincent van Gogh,The others are Symbolists,Gustave Moreau
Wittgenstein,Voltaire,Rousseau,Wittgenstein,The others were philosophers of the Enlightenment,Diderot
Epicurus,Marx,Epictetus,Marx,The others are ancient Greek philosophers associated with Hellenistic schools,Zeno
James,Russell,Dewey,Russell,The others are pragmatists,Peirce
Russell,Whitehead,Frege,Thoreau,The others are logicians,Thoreau
Berkeley,Locke,Hume,Kierkegaard,The others are empiricists,Kierkegaard
Popper,Kuhn,Feyerabend,Plato,The others are philosophers of science,Plato
Kierkegaard,Mill,Nietzsche,Mill,The others are associated with nihilism,Schopenhauer
Engels,Descartes,Hegel,Descartes,The others are dialectical materialists,Marx
Locke,Kant,Heidegger,Heidegger,The others are philosophers of the Enlightenment,Hume
Socrates,Aristotle,Plato,Kierkegaard,The others are philosophers of ancient Greece,Kierkegaard
Foucault,Derrida,Socrates,Socrates,The others are postmodernists,Barthes
Beauvoir,Kant,Camus,Kant,The others are French existentialists,Sartre
Rule of thirds,Depth of field,Leading lines,Color wheel,The others are photography composition techniques,Color wheel
Color grading,Retouching,Cropping,Sketching,The others are photo editing techniques,Sketching
Sergei Prokofiev,Franz Schubert,Dmitri Shostakovich,Franz Schubert,The others are Russian composers.,Sergei Rachmaninoff
Franz Liszt,Ludwig van Beethoven,Frederic Chopin,Ludwig van Beethoven,The others were known for their virtuosic piano playing.,Sergei Rachmaninoff
Robert Frost,E. E. Cummings,William Wordsworth,William Wordsworth,The others are 20th century poets.,T. S. Eliot
Percy Bysshe Shelley,Robert Frost,Lord Byron,Robert Frost,The others are Romantic poets.,John Keats
Emily Dickinson,Jack Kerouac,William S. Burroughs,Emily Dickinson,The others are Beat Generation poets.,Allen Ginsberg
William Blake,Samuel Taylor Coleridge,Robert Southey,William Blake,The others are Lake Poets.,William Wordsworth
Arthur Rimbaud,Emily Dickinson,Charles Baudelaire,Emily Dickinson,The others are French poets.,Paul Verlaine
Robert Frost,Ben Jonson,William Shakespeare,Robert Frost,The others are poets of the English Renaissance.,John Donne
H. D.,T. S. Eliot,Ezra Pound,Robert Frost,The others are Imagist poets.,Robert Frost
Langston Hughes,William Wordsworth,Claude McKay,William Wordsworth,The others are Harlem Renaissance poets.,Zora Neale Hurston
Geoffrey Chaucer,Robert Frost,Thomas Hoccleve,Robert Frost,The others are Middle English poets.,John Gower
John Dryden,Alexander Pope,William Shakespeare,William Shakespeare,The others are Augustan poets.,Samuel Johnson
William Blake,Emily Dickinson,Samuel Taylor Coleridge,Emily Dickinson,The others are poets of the English Romantic movement.,William Wordsworth
Ben Jonson,Robert Frost,William Shakespeare,Robert Frost,The others are Elizabethan poets.,Christopher Marlowe
Walter Scott,Robert Burns,Emily Dickinson,Emily Dickinson,The others are Scottish poets.,James Hogg
Robert Frost,William Shakespeare,John Milton,Robert Frost,The others are 17th century English poets.,John Dryden
Anne Sexton,Robert Lowell,Sylvia Plath,Emily Dickinson,The others are Confessional poets.,Emily Dickinson
Percy Bysshe Shelley,Lord Byron,John Keats,William Shakespeare,The others are poets of the Romantic movement.,William Shakespeare
Franklin D. Roosevelt,Bill Clinton,Jimmy Carter,Boris Johnson,The others are former U.S. Presidents,Boris Johnson
Bill Clinton,Richard Nixon,Barack Obama,Barack Obama,The others have faced impeachment,Andrew Johnson
Jacob Zuma,Olusegun Obasanjo,Muhammadu Buhari,Jacob Zuma,The others are Nigerian Presidents,Goodluck Jonathan
Endel Tulving,Carl Jung,Elizabeth Loftus,Carl Jung,The others are memory researchers,Daniel Schacter
Carl Jung,Lewis Terman,Charles Spearman,Carl Jung,The others are intelligence researchers,Francis Galton
Biscuits,Ice Cream,Bread,Ice Cream,The others are baked,Cake
Biscotti,Madeleine,Macaron,Gelato,The others are baked Italian/French desserts,Gelato
Shortbread,Crumpet,Scone,Pancake,The others are baked British treats,Pancake
Whiskey Sour,Old Fashioned,Mint Julep,Bloody Mary,The others are whiskey cocktails,Bloody Mary
Martini Glass,Old Fashioned Glass,Beer Mug,Beer Mug,The others are cocktail glasses,Highball Glass
Ice Scoop,Cutting Board,Strainer,Cutting Board,The others are used directly in drink preparation,Muddler
Mojito,Tequila Sunrise,Pina Colada,Tequila Sunrise,The others are rum cocktails,Daiquiri
Lime,Sugar,Tonic Water,Tonic Water,The others are ingredients in a daiquiri,Bitters
Aperol Spritz,Margarita,Americano,Margarita,The others are apéritif cocktails,Negroni
Mezcal,Rum,Sotol,Rum,The others are Mexican spirits,Tequila
Bloody Mary,Mojito,Black Russian,Mojito,The others are vodka cocktails,Screwdriver
French 75,Gin Fizz,Old Fashioned,Old Fashioned,The others are gin cocktails,Tom Collins
Vermouth,Triple Sec,Cointreau,Vermouth,The others are orange liqueurs,Grand Marnier
Pimm's Cup,Dark 'n' Stormy,Moscow Mule,Margarita,The others are served in copper mugs,Margarita
Rye,Bourbon,Brandy,Brandy,The others are whiskies,Scotch
Pina Colada,Cuba Libre,Mojito,Pina Colada,The others are served with lime,Daiquiri
Baileys,Campari,Fernet-Branca,Baileys,The others are bitter liqueurs,Jägermeister
Lemon Twist,Lime Wedge,Olive,Lime Wedge,The others are garnishes for a martini,Cherry
Ouzo,Sambuca,Tequila,Tequila,The others are anise-flavored,Arak
Heineken,Corona,Pilsner Urquell,Corona,The others are European beers,Guinness
Stone Brewing,Dogfish Head,Bell's Brewery,Anheuser-Busch,The others are microbreweries,Anheuser-Busch
Magic Rock,Beavertown,Stella Artois,Stella Artois,The others are UK craft beers,BrewDog
Pliny the Elder,Heady Topper,Budweiser,Budweiser,The others are IPA beers,Zombie Dust
Duvel,Miller Lite,Orval,Miller Lite,The others are Trappist beers,Westmalle
Budweiser,Pelforth,Kronenbourg 1664,Budweiser,The others are French beers,Fischer
Bud Light,Zhiguli,Baltika,Bud Light,The others are Russian beers,Nevskoye
Bomonti,Tuborg,Efes,Heineken,The others are Turkish beers,Heineken
Robert Mondavi,Ernest Gallo,Francis Ford Coppola,Francis Ford Coppola,The others are California winemakers,Carlo Rossi
Cabernet Sauvignon,Château Latour,Château Lafite Rothschild,Cabernet Sauvignon,The others are French wineries,Château Margaux
Keg,Barrique,Demijohn,Keg,The others are wine storage vessels,Amphora
Château Latour,Château Lafite Rothschild,Château Margaux,Dom Pérignon,The others are Bordeaux wineries,Dom Pérignon
Napa Valley,Hunter Valley,Yarra Valley,Napa Valley,The others are Australian wine regions,Barossa Valley
Malolactic fermentation,Saignée,Carbonic maceration,Decanting,The others are winemaking techniques,Decanting
Maturation,Bottling,Distillation,Distillation,The others are stages of winemaking,Vinification
Chardonnay,Merlot,Cabernet Sauvignon,Chardonnay,The others are Bordeaux grape varietals,Cabernet Franc
Tokaji,Ice Wine,Port,Port,The others are sweet wines,Sauternes
Chablis,Barolo,Sancerre,Barolo,The others are French wines,Pouilly-Fumé
Pot Still,Column Still,Fermentation Vat,Fermentation Vat,The others are types of distillers,Alembic Still
Single Malt,Single Grain,Blended Malt,Rum,The others are types of Scotch whisky,Rum
Mash,Hearts,Angel's Share,Mash,The others are distillation cuts,Foreshots
Yeast,Barrel,Water,Barrel,The others are ingredients in distillation,Grain
Aging,Distillation,Bottling,Fermentation,The others are post-distillation processes,Fermentation
Cask Strength,Single Barrel,Small Batch,Vodka,The others are whiskey classifications,Vodka
Cognac,Armagnac,Scotch,Scotch,The others are types of brandy,Brandy
Rum,Absinthe,Gin,Absinthe,The others are distilled from grain,Vodka
Glass,Stainless Steel,Copper,Wood,The others are materials used to make distillers,Wood
Malt,Grain,Pot Still,Column Still,The others are used in the mashing process,Column Still
Jameson,Chivas Regal,Johnnie Walker,Jameson,The others are Scotch whisky brands,Ballantine's
Grey Goose,Absolut,Bacardi,Bacardi,The others are vodka brands,Smirnoff
Bombay Sapphire,Beefeater,Jack Daniels,Jack Daniels,The others are gin brands,Tanqueray
Lagavulin,Macallan,Ardbeg,Macallan,The others are Islay Scotch whiskies,Laphroaig
Laphroaig,Glenmorangie,Macallan,Laphroaig,The others are Highland Scotch whiskies,Dalmore
Glen Deveron,Auchentoshan,Glenkinchie,Talisker,The others are Lowland Scotch whiskies,Talisker
Glenfiddich,Balvenie,Glenlivet,Talisker,The others are Speyside Scotch whiskies,Talisker
Kareem Abdul-Jabbar,Shaquille O'Neal,Scottie Pippen,Scottie Pippen,The others are Los Angeles Lakers' MVPs.,Magic Johnson
Scottie Pippen,Michael Jordan,Dennis Rodman,Karl Malone,The others played for the Chicago Bulls.,Karl Malone
Kevin Garnett,Bill Russell,Paul Pierce,Bill Russell,The others are NBA Finals MVPs.,Larry Bird
Anthony Davis,Dwyane Wade,Chris Bosh,Anthony Davis,The others won an NBA championship with the Miami Heat.,LeBron James
Jason Terry,Steve Nash,J.J. Barea,Steve Nash,The others won an NBA championship with the Dallas Mavericks.,Dirk Nowitzki
Kareem Abdul-Jabbar,Magic Johnson,James Worthy,Larry Bird,The others won an NBA championship with the Los Angeles Lakers.,Larry Bird
Dennis Rodman,Michael Jordan,Shaquille O'Neal,Shaquille O'Neal,The others are part of the 1996 Chicago Bulls.,Scottie Pippen
Tim Duncan,Tony Parker,Kawhi Leonard,Kawhi Leonard,The others are part of the 2007 San Antonio Spurs.,Manu Ginobili
Shaquille O'Neal,Tracy McGrady,Kobe Bryant,Tracy McGrady,The others are part of the 2002 Los Angeles Lakers.,Derek Fisher
Tony Parker,Manu Ginobili,David Robinson,David Robinson,The others are part of the 2005 San Antonio Spurs.,Tim Duncan
Magic Johnson,Larry Bird,Kevin McHale,Magic Johnson,The others are part of the 1986 Boston Celtics.,Robert Parish
Charles Barkley,Michael Jordan,Scottie Pippen,Charles Barkley,The others are part of the 1998 Chicago Bulls.,Dennis Rodman
LeBron James,Chris Bosh,Dwyane Wade,Kevin Durant,The others are part of the 2012 Miami Heat.,Kevin Durant
Magic Johnson,Larry Bird,James Worthy,Larry Bird,The others are part of the 1985 Los Angeles Lakers.,Kareem Abdul-Jabbar
Manu Ginobili,Shaquille O'Neal,Tim Duncan,Shaquille O'Neal,The others are part of the 2003 San Antonio Spurs.,Tony Parker
Karl Malone,Scottie Pippen,Dennis Rodman,Karl Malone,The others are part of the 1997 Chicago Bulls.,Michael Jordan
Dirk Nowitzki,LeBron James,Dwyane Wade,Dirk Nowitzki,The others are part of the 2013 Miami Heat.,Chris Bosh
Larry Bird,Magic Johnson,James Worthy,Larry Bird,The others are part of the 1987 Los Angeles Lakers.,Kareem Abdul-Jabbar
Shaquille O'Neal,Tracy McGrady,Derek Fisher,Tracy McGrady,The others are part of the 2000 Los Angeles Lakers.,Kobe Bryant
Robert Parish,Magic Johnson,Kevin McHale,Magic Johnson,The others are part of the 1984 Boston Celtics.,Larry Bird
Willie Mays,Hank Aaron,Mike Trout,Mike Trout,The others played before 1980,Roberto Clemente
Yogi Berra,Johnny Bench,Cal Ripken Jr.,Cal Ripken Jr.,The others are catchers,Mike Piazza
Ty Cobb,Lou Brock,Rickey Henderson,Babe Ruth,The others are base stealers,Babe Ruth
Hank Aaron,Ty Cobb,Cy Young,Cy Young,The others are hitters,Pete Rose
Barry Bonds,Mark McGwire,Sammy Sosa,Derek Jeter,The others have hit 60+ home runs in a season,Derek Jeter
Sandy Koufax,Rickey Henderson,Nolan Ryan,Rickey Henderson,The others are strikeout leaders,Randy Johnson
Greg Maddux,Miguel Tejada,Cal Ripken Jr.,Greg Maddux,The others are consecutive game streak holders,Lou Gehrig
Pete Rose,Honus Wagner,Joe DiMaggio,Honus Wagner,The others have hit streaks of 40+ games,Willie Keeler
Jackie Robinson,Ernie Banks,Ted Williams,Ted Williams,The others were pioneers in breaking the color barrier,Larry Doby
Tony Gwynn,Roberto Clemente,Rod Carew,Babe Ruth,The others are known for their high batting averages,Babe Ruth
Mike Piazza,Cal Ripken Jr.,Ozzie Smith,Mike Piazza,The others are shortstops,Derek Jeter
Babe Ruth,Ty Cobb,Pete Rose,Babe Ruth,The others have 4000+ professional hits,Ichiro Suzuki
Hank Aaron,Babe Ruth,Barry Bonds,Rickey Henderson,The others are home run leaders,Rickey Henderson
Sandy Koufax,Mickey Mantle,Willie Mays,Sandy Koufax,The others are outfielders,Hank Aaron
Brooks Robinson,Mike Schmidt,Lou Gehrig,Lou Gehrig,The others are third basemen,George Brett
Roger Clemens,Randy Johnson,Babe Ruth,Babe Ruth,The others have 300+ career wins,Nolan Ryan
Ted Williams,Willie Mays,Mickey Mantle,Willie Mays,The others have a career on-base percentage over .400,Babe Ruth
Cal Ripken Jr.,Joe DiMaggio,Miguel Tejada,Joe DiMaggio,The others have played in 2000+ consecutive games,Lou Gehrig
Floyd Mayweather,Manny Pacquiao,Oscar De La Hoya,Sugar Ray Robinson,The others are boxers of the modern era,Sugar Ray Robinson
Rocky Marciano,Lennox Lewis,Evander Holyfield,Rocky Marciano,The others are heavyweight champions of the 90s,Mike Tyson
Marvin Hagler,Roberto Duran,Sugar Ray Leonard,George Foreman,The others are middleweight champions,George Foreman
Fred Astaire,Mikhail Baryshnikov,Rudolf Nureyev,Fred Astaire,The others are ballet dancers.,Vaslav Nijinsky
Fred Astaire,Ginger Rogers,Margot Fonteyn,Margot Fonteyn,The others are tap dancers.,Gene Kelly
Mary Wigman,Martha Graham,Isadora Duncan,Bob Fosse,The others are modern dancers.,Bob Fosse
Anna Pavlova,Michael Flatley,Jean Butler,Anna Pavlova,The others are Irish dancers.,Colin Dunne
Marius Petipa,George Balanchine,Jerome Robbins,Jerome Robbins,The others are ballet choreographers.,Lev Ivanov
Bryan Watson,Merce Cunningham,Yulia Zagoruychenko,Merce Cunningham,The others are ballroom dancers.,Pierre Dulaine
Mikhail Baryshnikov,Gower Champion,Jerome Robbins,Mikhail Baryshnikov,The others are Broadway choreographers.,Bob Fosse
Vaslav Nijinsky,Fred Astaire,Rudolf Nureyev,Fred Astaire,The others are Russian dancers.,Mikhail Baryshnikov
Twyla Tharp,Gene Kelly,Martha Graham,Gene Kelly,The others are modern choreographers.,Merce Cunningham
Galina Ulanova,Janet Jackson,Michael Jackson,Galina Ulanova,The others are pop dancers.,Paula Abdul
Pierre Dulaine,Isadora Duncan,Mary Wigman,Pierre Dulaine,The others are pioneers of modern dance.,Martha Graham
Fred Astaire,Bill Robinson,Vaslav Nijinsky,Vaslav Nijinsky,The others are film dancers.,Gene Kelly
George Balanchine,Pierre Dulaine,Bryan Watson,George Balanchine,The others are Latin dancers.,Yulia Zagoruychenko
Lombardi Trophy,Green Jacket,Wanamaker Trophy,Lombardi Trophy,The others are golf tournament prizes,Claret Jug
Flop Shot,Free Kick,Stinger,Free Kick,The others are golf shots,Punch Shot
Babe Didrikson Zaharias,Tommy Armour,Horton Smith,Babe Didrikson Zaharias,The others are male professional golfers,Johnny Farrell
Brett Hull,Mark Howe,Bobby Hull,Gordie Howe,The others are father-son duos,Gordie Howe
Wayne Gretzky,Ray Bourque,Chris Pronger,Wayne Gretzky,The others are defensemen,Scott Stevens
Denis Potvin,Mario Lemieux,Paul Coffey,Mario Lemieux,The others won the Norris Trophy,Bobby Orr
Brett Hull,Dominik Hasek,Patrick Roy,Brett Hull,The others won the Vezina Trophy,Martin Brodeur
Evgeni Malkin,Jaromir Jagr,Sidney Crosby,Jaromir Jagr,The others are Penguins' captains,Mario Lemieux
Jari Kurri,Paul Coffey,Wayne Gretzky,Paul Coffey,The others won the Hart Trophy,Mark Messier
Evgeni Nabokov,Pavel Datsyuk,Alex Ovechkin,Evgeni Nabokov,The others are Russian forwards,Sergei Fedorov
Bernie Parent,Bobby Clarke,Bill Barber,Mike Bossy,The others played for the Flyers,Mike Bossy
Patrick Roy,Mats Sundin,Peter Forsberg,Mats Sundin,The others played for the Avalanche,Joe Sakic
Miikka Kiprusoff,Jarome Iginla,Dion Phaneuf,Joe Thornton,The others played for the Flames,Joe Thornton
Adam Foote,Teemu Selanne,Peter Forsberg,Teemu Selanne,The others won a Stanley Cup with the Avalanche,Joe Sakic
Peter Tosh,David Bowie,Bob Marley,David Bowie,The others are reggae musicians,Bunny Wailer
Eddie Vedder,Kurt Cobain,Chris Cornell,Axl Rose,The others are grunge musicians,Axl Rose
The Beatles,The Cure,The Smiths,The Beatles,The others are 80s alternative bands,Depeche Mode
Metallica,Megadeth,Slayer,Nirvana,The others are thrash metal bands,Nirvana
The Doors,The Kinks,The Yardbirds,The Doors,The others are British Invasion bands,The Who
Mick Jagger,Janis Joplin,Jimi Hendrix,Mick Jagger,The others died at age 27,Jim Morrison
The Ramones,The Clash,The Sex Pistols,The Ramones,The others are British punk bands,The Damned
Socrates,Hobbes,Aristotle,Hobbes,The others are philosophers of the Classical period,Plato
Locke,Hegel,Schopenhauer,Locke,The others are philosophers of the German Idealism,Kant
Confucius,Xunzi,Mencius,Rousseau,The others are Confucian philosophers,Rousseau
Nietzsche,Kierkegaard,Sartre,Locke,The others are Existentialists,Locke
Moore,Nietzsche,Wittgenstein,Nietzsche,The others are philosophers of the Analytic tradition,Russell
Plato,Hobbes,Locke,Plato,The others are philosophers of the Social Contract,Rousseau
Augustine,Anselm,Spinoza,Spinoza,The others are philosophers of the Scholasticism,Aquinas
Marx,Sartre,Engels,Sartre,The others are philosophers of the Dialectical materialism,Hegel
Jelly Roll Morton,Sergei Prokofiev,Fats Waller,Sergei Prokofiev,The others are ragtime pianists,Scott Joplin
Stevie Wonder,Alicia Keys,Johannes Brahms,Johannes Brahms,The others are R&B pianists,Ray Charles
Yundi Li,Yuja Wang,John Legend,John Legend,The others are Chinese pianists,Lang Lang
Hiromi Uehara,Robert Glasper,Johann Sebastian Bach,Johann Sebastian Bach,The others are jazz fusion pianists,Chick Corea
Liberace,Sergei Rachmaninoff,Billy Joel,Sergei Rachmaninoff,The others are pop pianists,Elton John
Fats Domino,Ludwig van Beethoven,Jerry Lee Lewis,Ludwig van Beethoven,The others are rock and roll pianists,Little Richard
Franz Liszt,Richard Wright,Tony Banks,Franz Liszt,The others are rock keyboardists,Ray Manzarek
Regina Spektor,Johann Sebastian Bach,Fiona Apple,Johann Sebastian Bach,The others are alternative pop pianists,Tori Amos
Wolfgang Amadeus Mozart,Booker T. Jones,Steve Winwood,Wolfgang Amadeus Mozart,The others are soul pianists,Billy Preston
Allen Ginsberg,William Blake,Jack Kerouac,William Blake,The others are Beat Generation poets,Sylvia Plath
